RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,63343,Aldrich Potgieter,323.9,18788,58
2,0,35706,Niklas Norgaard,319.5,15338,48
3,0,28237,Rory McIlroy,317.5,15242,48
4,2,48117,Kurt Kitayama,314.9,21415,68
4,0,57364,Michael Thorbjornsen,314.9,20784,66
6,1,37378,Min Woo Lee,314.8,21403,68
7,1,57586,Jesper Svensson,314.7,24543,78
8,-3,38991,Alejandro Tosti,313.9,23539,75
9,0,52686,Rasmus Højgaard,313.8,18829,60
10,0,39546,Keith Mitchell,313.5,23825,76
11,0,31323,Gary Woodland,313.3,21303,68
12,8,52453,Nicolai Højgaard,312.5,15000,48
13,-1,59095,Chris Gotterup,312.3,25612,82
13,-1,51070,Vincent Norrman,312.3,14990,48
15,-1,46601,Trey Mullinax,311.8,19953,64
16,0,48867,Matti Schmid,311.0,23011,74
17,-1,27129,Luke List,310.9,20522,66
18,1,56781,Isaiah Salinda,310.7,21752,70
18,0,57366,Cameron Young,310.7,22990,74
20,-5,50474,Tim Widing,310.5,14906,48
21,1,56762,Will Gordon,310.2,17371,56
22,-1,57123,Steven Fisk,310.1,20464,66
23,0,51766,Wyndham Clark,309.6,22289,72
24,1,49453,Trevor Cone,309.2,15461,50
25,-2,35658,Kris Ventura,309.1,23489,76
26,1,60882,Thomas Rosenmueller,308.6,20368,66
27,4,52955,Ludvig Åberg,308.1,17870,58
28,0,49947,Taylor Moore,308.0,20943,68
29,-1,59440,Ricky Castillo,307.8,24626,80
30,4,47420,Jake Knapp,307.7,28920,94
30,-2,50582,Jeremy Paul,307.7,20925,68
32,1,40006,Erik van Rooyen,307.5,21525,70
33,-8,47347,Adam Schenk,307.2,20275,66
34,0,33597,Harry Higgs,307.1,19654,64
34,2,40250,Taylor Pendrith,307.1,24567,80
34,5,54304,Karl Vilips,307.1,15968,52
37,5,54607,Danny Walker,306.9,21484,70
