RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,51070,Vincent Norrman,73.38%,317,432,-0.22
2,0,49960,Sepp Straka,72.10%,571,792,-0.35
3,0,34098,Russell Henley,71.73%,439,612,-0.33
4,4,46046,Scottie Scheffler,71.45%,463,648,-0.35
5,0,40250,Taylor Pendrith,70.97%,511,720,-0.29
6,-2,35450,Patrick Cantlay,70.83%,459,648,-0.33
7,-2,51696,Rico Hoey,70.77%,535,756,-0.28
8,4,45242,Kevin Yu,70.73%,522,738,-0.31
9,-2,34256,Andrew Putnam,70.72%,471,666,-0.27
10,9,57364,Michael Thorbjornsen,70.37%,418,594,-0.29
11,-1,50525,Collin Morikawa,70.04%,353,504,-0.34
12,18,59440,Ricky Castillo,70.00%,504,720,-0.28
12,-1,25493,Nick Taylor,70.00%,504,720,-0.28
14,-1,57123,Steven Fisk,69.87%,415,594,-0.27
15,-1,39997,Corey Conners,69.84%,528,756,-0.28
15,27,56762,Will Gordon,69.84%,352,504,-0.24
17,-2,52215,Robert MacIntyre,69.79%,402,576,-0.29
18,-2,39324,J.J. Spaun,69.77%,540,774,-0.30
18,-2,47483,Will Zalatoris,69.77%,427,612,-0.30
20,-2,39546,Keith Mitchell,69.74%,477,684,-0.31
21,-13,29535,Brice Garnett,69.61%,426,612,-0.28
22,2,52453,Nicolai Højgaard,69.44%,300,432,-0.33
22,13,35706,Niklas Norgaard,69.44%,300,432,-0.34
22,-2,58168,Davis Thompson,69.44%,525,756,-0.28
25,-4,54591,Ben Griffin,69.33%,599,864,-0.29
26,17,47679,Victor Perez,69.26%,374,540,-0.28
27,-1,54628,Lee Hodges,69.25%,349,504,-0.32
28,13,39335,Kevin Roy,69.22%,461,666,-0.29
29,-1,47988,Nick Hardy,69.16%,361,522,-0.27
30,-5,46414,Aaron Rai,69.14%,448,648,-0.32
31,-8,59095,Chris Gotterup,69.11%,510,738,-0.28
32,-10,46601,Trey Mullinax,69.10%,398,576,-0.33
33,-3,46340,Alex Smalley,69.03%,497,720,-0.30
34,-7,46442,Maverick McNealy,68.94%,546,792,-0.33
35,0,59836,Pierceson Coody,68.89%,248,360,-0.31
35,-6,27644,Brian Harman,68.89%,558,810,-0.29
35,0,33968,Thorbjørn Olesen,68.89%,248,360,-0.30
38,5,40006,Erik van Rooyen,68.73%,433,630,-0.35
39,-7,48867,Matti Schmid,68.62%,457,666,-0.32
40,0,36884,Ben Kohles,68.52%,444,648,-0.28
40,-6,60882,Thomas Rosenmueller,68.52%,407,594,-0.29
42,6,27064,Jhonattan Vegas,68.35%,406,594,-0.29
43,-10,49947,Taylor Moore,68.30%,418,612,-0.30
44,-5,54304,Karl Vilips,68.16%,319,468,-0.33
45,-10,56630,Akshay Bhatia,68.06%,441,648,-0.34
45,-10,48081,Xander Schauffele,68.06%,294,432,-0.31
47,-9,34021,Bud Cauley,67.96%,367,540,-0.31
48,1,30163,Henrik Norlander,67.89%,501,738,-0.28
49,8,34076,Joel Dahmen,67.87%,452,666,-0.29
50,6,52513,Carson Young,67.71%,390,576,-0.27
51,12,52375,Doug Ghim,67.69%,463,684,-0.26
52,44,46646,Antoine Rozner,67.62%,426,630,-0.29
53,-7,40026,Daniel Berger,67.50%,486,720,-0.30
54,-9,51287,Ryo Hisatsune,67.40%,461,684,-0.28
55,-5,50582,Jeremy Paul,67.32%,412,612,-0.33
56,-5,51766,Wyndham Clark,67.28%,436,648,-0.33
56,7,47917,Takumi Kanaya,67.28%,327,486,-0.28
58,-5,39975,Michael Kim,67.27%,557,828,-0.29
59,-5,33448,Justin Thomas,67.22%,484,720,-0.41
60,17,54576,Patrick Fishburn,67.14%,423,630,-0.27
61,-6,28237,Rory McIlroy,67.13%,290,432,-0.39
62,0,35658,Kris Ventura,67.11%,459,684,-0.29
63,-12,33413,Ben Martin,67.03%,374,558,-0.29
64,9,47420,Jake Knapp,67.02%,567,846,-0.35
65,-18,12716,Charley Hoffman,66.98%,434,648,-0.28
65,-8,30926,Chris Kirk,66.98%,434,648,-0.30
65,-8,32839,Hideki Matsuyama,66.98%,434,648,-0.30
65,23,56781,Isaiah Salinda,66.98%,422,630,-0.31
69,0,37455,Si Woo Kim,66.92%,530,792,-0.35
70,27,49453,Trevor Cone,66.89%,301,450,-0.25
71,-10,46717,Viktor Hovland,66.88%,313,468,-0.35
72,-9,40115,Adam Svensson,66.81%,469,702,-0.27
73,11,51950,Max McGreevy,66.67%,480,720,-0.31
73,34,34046,Jordan Spieth,66.67%,456,684,-0.33
75,-1,57975,Harry Hall,66.55%,551,828,-0.35
76,-13,51349,Nico Echavarria,66.53%,491,738,-0.34
77,-7,33141,Keegan Bradley,66.52%,455,684,-0.31
77,-7,29725,Tony Finau,66.52%,443,666,-0.29
79,-7,28089,Jason Day,66.51%,431,648,-0.33
80,-2,58605,Quade Cummins,66.50%,407,612,-0.29
81,10,55893,Sam Stevens,66.44%,598,900,-0.29
82,-7,52666,Sami Valimaki,66.40%,490,738,-0.30
83,-20,47983,Chad Ramey,66.38%,466,702,-0.27
84,14,57362,Austin Eckroat,66.36%,430,648,-0.29
85,-9,31323,Gary Woodland,66.34%,406,612,-0.29
86,7,28252,Seamus Power,66.32%,382,576,-0.26
87,-8,40098,Matt Fitzpatrick,66.30%,358,540,-0.28
88,-8,47993,Denny McCarthy,66.29%,525,792,-0.29
89,-29,55708,Hayden Buckley,66.16%,262,396,-0.24
90,-3,33653,Thomas Detry,66.14%,500,756,-0.31
91,31,52686,Rasmus Højgaard,66.11%,357,540,-0.32
91,0,35506,Mackenzie Hughes,66.11%,476,720,-0.28
93,-8,51890,Greyson Sigg,66.07%,440,666,-0.25
93,-11,50484,Hayden Springer,66.07%,333,504,-0.32
95,-32,34587,Chan Kim,66.02%,511,774,-0.32
96,-7,36799,Stephan Jaeger,65.97%,570,864,-0.34
97,-7,59141,Matt McCarty,65.89%,510,774,-0.30
98,-3,48887,Matt Wallace,65.84%,320,486,-0.25
99,-5,46443,Brian Campbell,65.77%,367,558,-0.28
100,3,47504,Sam Burns,65.74%,497,756,-0.35
