RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,1,46046,Scottie Scheffler,69.019,2461,23.678,36
2,-1,28237,Rory McIlroy,69.163,1655,4.906,24
3,0,34021,Bud Cauley,70.014,2082,18.433,30
4,0,49960,Sepp Straka,70.162,3043,44.121,44
5,0,33968,Thorbjørn Olesen,70.243,1392,12.864,20
6,-1,39546,Keith Mitchell,70.253,2635,34.596,38
7,0,34098,Russell Henley,70.277,2354,35.427,34
8,0,40026,Daniel Berger,70.285,2798,13.380,40
9,-3,59018,Ryan Gerard,70.295,3060,32.997,44
10,0,39975,Michael Kim,70.299,3205,28.751,46
11,0,46340,Alex Smalley,70.322,2778,34.864,40
12,0,33448,Justin Thomas,70.335,2778,35.383,40
13,-5,54628,Lee Hodges,70.351,1940,29.827,28
14,-1,50525,Collin Morikawa,70.364,1947,23.197,28
15,0,33204,Shane Lowry,70.462,2388,7.700,34
16,-2,60004,Jacob Bridgeman,70.473,2653,24.988,38
17,11,34046,Jordan Spieth,70.482,2660,18.317,38
18,-2,37275,Sam Ryder,70.492,2935,25.667,42
19,-1,34076,Joel Dahmen,70.532,2584,25.670,37
20,-1,30911,Tommy Fleetwood,70.551,2258,-0.370,32
21,-1,39324,J.J. Spaun,70.556,3010,23.900,43
22,8,34256,Andrew Putnam,70.594,2580,31.983,37
23,-2,32839,Hideki Matsuyama,70.600,2518,23.585,36
24,-7,51287,Ryo Hisatsune,70.629,2653,30.886,38
25,11,39335,Kevin Roy,70.644,2577,36.839,37
26,-1,37378,Min Woo Lee,70.688,2382,21.402,34
27,6,57975,Harry Hall,70.717,3193,60.001,46
28,-6,57586,Jesper Svensson,70.738,2733,25.797,39
29,2,46442,Maverick McNealy,70.767,3082,31.766,44
30,9,52666,Sami Valimaki,70.772,2874,27.664,41
31,24,59440,Ricky Castillo,70.780,2794,37.201,40
32,5,30163,Henrik Norlander,70.786,2865,37.225,41
33,0,59836,Pierceson Coody,70.789,1391,24.785,20
34,1,54591,Ben Griffin,70.799,3362,36.346,48
35,-6,50582,Jeremy Paul,70.810,2371,36.541,34
36,-10,52453,Nicolai Højgaard,70.822,1678,21.721,24
37,22,55893,Sam Stevens,70.824,3503,38.216,50
38,8,39971,Sungjae Im,70.827,3285,43.890,47
39,-16,34587,Chan Kim,70.839,3013,33.062,43
40,-2,12716,Charley Hoffman,70.848,2519,31.543,36
41,-1,39997,Corey Conners,70.850,2951,24.681,42
42,-15,24024,Zach Johnson,70.870,2043,12.226,29
43,-1,31323,Gary Woodland,70.882,2386,23.978,34
44,-10,23108,Matt Kuchar,70.883,2102,24.502,30
44,-20,49947,Taylor Moore,70.883,2382,28.006,34
46,-14,50484,Hayden Springer,70.888,1964,20.870,28
47,-3,25900,Lucas Glover,70.904,2601,22.455,37
48,-1,47993,Denny McCarthy,70.918,3085,35.388,44
49,-1,35450,Patrick Cantlay,70.919,2522,31.100,36
50,17,54607,Danny Walker,70.935,2457,25.738,35
51,-6,36799,Stephan Jaeger,70.953,3364,41.749,48
51,45,47917,Takumi Kanaya,70.953,1885,30.743,27
53,-3,22405,Justin Rose,70.960,1842,2.951,26
54,-5,51696,Rico Hoey,70.963,2935,45.455,42
55,-4,33653,Thomas Detry,70.976,2948,32.975,42
56,-4,28089,Jason Day,70.977,2520,35.181,36
57,11,33413,Ben Martin,70.978,2171,29.329,31
58,-17,47679,Victor Perez,70.985,2099,30.556,30
59,-6,33141,Keegan Bradley,70.990,2677,20.603,38
60,15,51950,Max McGreevy,71.002,2809,31.062,40
61,-5,46414,Aaron Rai,71.011,2526,30.405,36
62,33,48117,Kurt Kitayama,71.029,2383,31.979,34
63,34,47347,Adam Schenk,71.031,2320,24.033,33
64,19,35706,Niklas Norgaard,71.035,1679,25.828,24
65,-11,58605,Quade Cummins,71.043,2384,31.459,34
66,14,37455,Si Woo Kim,71.045,3073,52.959,44
67,-10,51997,Andrew Novak,71.048,2892,20.957,41
68,13,46601,Trey Mullinax,71.052,2236,37.659,32
69,17,59141,Matt McCarty,71.072,3012,44.087,43
70,19,51894,Vince Whaley,71.080,2803,40.200,40
71,2,33199,Matteo Manassero,71.088,2098,34.639,30
72,-8,40250,Taylor Pendrith,71.090,2806,37.615,40
73,-8,54576,Patrick Fishburn,71.091,2458,30.193,35
73,-12,52215,Robert MacIntyre,71.091,2242,32.904,32
75,-32,38991,Alejandro Tosti,71.092,2666,35.501,38
76,9,36699,Patrick Rodgers,71.093,3516,38.673,50
77,46,40006,Erik van Rooyen,71.099,2449,39.468,35
78,-16,25493,Nick Taylor,71.106,2798,46.238,40
79,3,52375,Doug Ghim,71.110,2669,33.174,38
79,-16,27649,Brandt Snedeker,71.110,1963,28.075,28
81,-23,56781,Isaiah Salinda,71.111,2460,28.899,35
82,-16,60067,Joe Highsmith,71.122,2540,20.387,36
83,-14,56630,Akshay Bhatia,71.131,2526,34.731,36
84,-14,57123,Steven Fisk,71.136,2323,24.487,33
85,-25,29936,Ryan Fox,71.166,2113,21.983,30
86,-14,34099,Harris English,71.175,2545,17.308,36
87,13,57364,Michael Thorbjornsen,71.193,2310,39.359,33
88,19,59095,Chris Gotterup,71.196,2867,52.052,41
89,10,45242,Kevin Yu,71.199,2871,48.144,41
90,0,47420,Jake Knapp,71.200,3293,53.405,47
91,-20,48867,Matti Schmid,71.204,2605,29.566,37
92,-13,28252,Seamus Power,71.224,2255,24.160,32
93,-17,35658,Kris Ventura,71.227,2679,27.643,38
94,-7,40162,Justin Lower,71.235,2392,30.000,34
95,-7,35506,Mackenzie Hughes,71.255,2813,37.209,40
96,-19,46443,Brian Campbell,71.282,2189,20.729,31
97,0,54304,Karl Vilips,71.292,1818,35.586,26
98,-7,49771,J.T. Poston,71.313,3247,33.407,46
98,-24,48887,Matt Wallace,71.313,1909,16.440,27
100,-8,40115,Adam Svensson,71.318,2749,32.388,39
101,-9,58168,Davis Thompson,71.324,2947,48.603,42
102,-24,47983,Chad Ramey,71.325,2751,30.693,39
103,-19,51890,Greyson Sigg,71.329,2607,32.187,37
104,23,47504,Sam Burns,71.364,2949,48.280,42
105,-4,29908,C.T. Pan,71.372,1697,15.922,24
106,-3,29420,Billy Horschel,71.382,2673,39.511,38
107,9,28775,Nate Lashley,71.383,2540,29.777,36
108,-2,36884,Ben Kohles,71.385,2523,46.855,36
109,-5,46717,Viktor Hovland,71.393,1834,22.208,26
110,-5,52955,Ludvig Åberg,71.401,2053,17.627,29
111,-9,36824,Paul Peterson,71.403,1823,33.475,26
112,-4,27644,Brian Harman,71.412,3168,45.553,45
113,-4,35532,Tom Hoge,71.413,3242,42.995,46
114,15,47591,Eric Cole,71.425,3662,52.100,52
115,8,47056,Rikuya Hoshino,71.427,2246,39.667,32
116,-6,51766,Wyndham Clark,71.430,2526,45.493,36
117,-4,55623,Kaito Onishi,71.434,1765,20.854,25
118,-24,59143,Mac Meissner,71.440,2978,22.479,42
119,11,51349,Nico Echavarria,71.460,2878,51.867,41
120,-9,55789,Taylor Montgomery,71.463,2105,38.894,30
121,29,56762,Will Gordon,71.469,1976,25.127,28
122,12,57900,Chandler Phillips,71.474,2904,26.416,41
123,-8,32139,Danny Willett,71.503,1916,14.587,27
124,-6,29535,Brice Garnett,71.512,2383,48.409,34
125,19,46646,Antoine Rozner,71.523,2472,31.314,35
126,16,36801,Mark Hubbard,71.534,2833,28.378,40
127,-15,35461,Beau Hossler,71.550,2835,26.988,40
128,-7,31646,Emiliano Grillo,71.567,2696,23.557,38
129,-10,47483,Will Zalatoris,71.573,2402,31.492,34
130,-10,51070,Vincent Norrman,71.579,1698,19.889,24
131,-9,33948,Byeong Hun An,71.602,2970,37.268,42
132,4,52686,Rasmus Højgaard,71.610,2125,23.289,30
133,-8,51977,Max Greyserman,71.612,3037,42.319,43
134,-8,48081,Xander Schauffele,71.620,1705,13.882,24
135,-7,51634,Sahith Theegala,71.643,3264,31.582,46
136,-4,55182,Tom Kim,71.648,2635,15.994,37
137,-4,60882,Thomas Rosenmueller,71.654,2328,36.593,33
138,-7,35310,Lanto Griffin,71.660,2341,23.796,33
139,-25,55165,Noah Goodwin,71.674,2198,23.882,31
140,-23,27770,Camilo Villegas,71.696,2415,22.661,34
141,-7,29725,Tony Finau,71.717,2619,34.534,37
142,16,27064,Jhonattan Vegas,71.725,2332,34.931,33
143,-4,32102,Rickie Fowler,71.770,2338,30.406,33
144,-4,27129,Luke List,71.780,2344,24.742,33
144,-7,63121,William Mouw,71.780,2345,23.752,33
146,5,47995,Davis Riley,71.798,2829,42.926,40
147,-6,52513,Carson Young,71.802,2271,26.669,32
148,-10,63343,Aldrich Potgieter,71.832,2071,12.139,29
149,-7,33399,Adam Hadwin,71.847,2610,48.329,37
150,3,27139,David Skinns,71.871,2341,30.736,33
151,-3,45157,Cam Davis,71.885,2260,40.326,32
152,-5,45522,Christiaan Bezuidenhout,71.896,2618,42.136,37
153,4,47988,Nick Hardy,71.934,2058,28.078,29
154,1,57362,Austin Eckroat,71.952,2557,33.266,36
155,-1,24502,Adam Scott,71.961,1991,23.909,28
156,0,30926,Chris Kirk,71.995,2546,45.813,36
157,-8,39327,Ben Silverman,72.014,1922,22.368,27
158,-13,60019,Jackson Suber,72.016,2351,25.517,33
159,-13,59160,John Pak,72.069,2496,26.428,35
160,-9,52370,Mason Andersen,72.082,2346,32.692,33
161,-2,32791,K.H. Lee,72.159,1715,16.815,24
162,-2,22371,Aaron Baddeley,72.163,2214,23.044,31
163,9,51690,Taylor Dickson,72.230,2207,32.135,31
164,-1,58619,Kevin Velo,72.232,1923,27.261,27
165,-4,49590,Frankie Capan III,72.310,2288,25.906,32
166,5,32757,Patton Kizzire,72.338,2060,37.788,29
167,-2,40098,Matt Fitzpatrick,72.356,2142,28.673,30
168,-2,58933,Will Chandler,72.367,2365,23.112,33
169,-7,33597,Harry Higgs,72.390,2289,27.481,32
170,-2,36326,David Lipsky,72.416,2566,40.988,36
170,-3,50474,Tim Widing,72.416,1709,28.981,24
172,-2,52144,Braden Thornberry,72.459,1783,28.470,25
173,-4,57366,Cameron Young,72.460,2651,30.013,37
174,-10,64693,Matthew Riedel,72.501,2290,30.026,32
175,2,49453,Trevor Cone,72.645,1786,30.130,25
176,2,39859,Cristobal Del Solar,72.789,2082,28.882,29
177,-3,59866,Nick Dunlap,72.790,2573,47.451,36
178,-2,55708,Hayden Buckley,72.796,1577,24.520,22
179,-4,48153,Matthieu Pavon,72.797,2739,27.282,38
180,-7,54813,Philip Knowles,72.857,1575,27.852,22
181,-1,39977,Max Homa,73.072,1946,26.939,27
182,0,32070,Rafael Campos,73.140,2959,39.759,41
183,-2,45523,Thriston Lawrence,73.179,1595,14.932,22
184,-5,34466,Peter Malnati,73.259,2378,39.550,33
185,-2,23320,Ryan Palmer,73.405,1871,37.525,26
